Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10868204,2020-10-09 17:10:05,2020-01-10 11:09:34,32643619,6528723800,32643619,200,2327,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868204/SRR10868204.lite.1,SRX7538227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976891,SAMN13819064,simple,7955,Danio rerio,GSM4259024,,,,,,,no,,,,,GEO,SRA1023469,,public,B0ECF075C29146239CFBA46CFB7FAD33,2ECEB3DDB996607ACDD6FA02047B5DC6
SRR10868205,2020-10-09 17:10:05,2020-01-10 11:14:06,24576538,4915307600,24576538,200,1800,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868205/SRR10868205.lite.1,SRX7538228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976892,SAMN13819063,simple,7955,Danio rerio,GSM4259025,,,,,,,no,,,,,GEO,SRA1023469,,public,75A43961327A44B35A066FD42F2DD52A,EA2BA7F4A1397D4C22BE22E5E6DFB888
SRR10868206,2020-10-09 17:10:05,2020-01-10 11:22:14,47311354,9462270800,47311354,200,3379,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR010/10868/SRR10868206/SRR10868206.lite.1,SRX7538229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976893,SAMN13819062,simple,7955,Danio rerio,GSM4259026,,,,,,,no,,,,,GEO,SRA1023469,,public,CA4FEDDBD063B1A09D4E285AA2F1FFBC,59B690D496E094CCBCF815FCD925A9F6
SRR10868207,2020-10-09 17:10:05,2020-01-10 11:11:32,44920336,8984067200,44920336,200,3399,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868207/SRR10868207.lite.1,SRX7538230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976894,SAMN13819061,simple,7955,Danio rerio,GSM4259027,,,,,,,no,,,,,GEO,SRA1023469,,public,C53F95C4B6E24CF4AF25F8E96B30462C,81834B26597F4D4357771B14F43C9D84
SRR10868208,2020-10-09 17:10:05,2020-01-10 11:28:19,48983956,9796791200,48983956,200,3469,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR010/10868/SRR10868208/SRR10868208.lite.1,SRX7538231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976895,SAMN13819060,simple,7955,Danio rerio,GSM4259028,,,,,,,no,,,,,GEO,SRA1023469,,public,8E3B049A94B5F4C4189C221C069F4798,AB9362F6A44B561DF8061DA503253984
SRR10868199,2020-10-09 17:10:05,2020-01-10 11:05:45,28860792,5772158400,28860792,200,1963,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868199/SRR10868199.lite.1,SRX7538222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976886,SAMN13819069,simple,7955,Danio rerio,GSM4259019,,,,,,,no,,,,,GEO,SRA1023469,,public,C3FDB96D300A3B20FC8D20C539FC01A6,8ED743B3852F73901F77E74E4B88CD7C
SRR10868200,2020-10-09 17:10:05,2020-01-10 11:18:08,25019835,5003967000,25019835,200,1799,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR010/10868/SRR10868200/SRR10868200.lite.1,SRX7538223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976887,SAMN13819068,simple,7955,Danio rerio,GSM4259020,,,,,,,no,,,,,GEO,SRA1023469,,public,78A3C02C9AF2278BD1410815B7893BC6,8085B5DFE3A9E72700E59C995590B312
SRR10868201,2020-10-09 17:10:05,2020-01-10 11:06:33,28616740,5723348000,28616740,200,2148,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868201/SRR10868201.lite.1,SRX7538224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976888,SAMN13819067,simple,7955,Danio rerio,GSM4259021,,,,,,,no,,,,,GEO,SRA1023469,,public,4887E57DB7741F0E46580CA4C1259777,CEE571BADABA7EF74E3D6EA7F6001B7C
SRR10868202,2020-10-09 17:10:05,2020-01-10 11:21:56,50337632,10067526400,50337632,200,3464,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/10868/SRR10868202/SRR10868202.lite.1,SRX7538225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976889,SAMN13819066,simple,7955,Danio rerio,GSM4259022,,,,,,,no,,,,,GEO,SRA1023469,,public,93A869B4B350840D111457EEC99A0024,D93BAF0DFB959F1223E2B816778215D0
SRR10868203,2020-10-09 17:10:05,2020-01-10 11:26:06,39556085,7911217000,39556085,200,2790,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR010/10868/SRR10868203/SRR10868203.lite.1,SRX7538226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976890,SAMN13819065,simple,7955,Danio rerio,GSM4259023,,,,,,,no,,,,,GEO,SRA1023469,,public,335F6DFD4E28428EDCEE6C9D06B598EA,67E89F62270F805EC7BF211E081F49BF
SRR10868194,2020-10-09 17:10:05,2020-01-10 11:16:19,56372084,11274416800,56372084,200,3934,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR010/10868/SRR10868194/SRR10868194.lite.1,SRX7538217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976881,SAMN13819048,simple,7955,Danio rerio,GSM4259014,,,,,,,no,,,,,GEO,SRA1023469,,public,3FA6FE8DBDEC8FDFC3B14823C794D231,08BF236B8CA47E01877B96B128DCE51A
SRR10868195,2020-10-09 17:10:05,2020-01-10 11:04:31,36340957,7268191400,36340957,200,2612,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868195/SRR10868195.lite.1,SRX7538218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976882,SAMN13819047,simple,7955,Danio rerio,GSM4259015,,,,,,,no,,,,,GEO,SRA1023469,,public,E6F7B73A1D4B22CABCE8CA27DADE2921,A2D5CF0C42B99A8CE1717A562851B67A
SRR10868196,2020-10-09 17:10:05,2020-01-10 11:30:14,42330602,8466120400,42330602,200,3008,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868196/SRR10868196.lite.1,SRX7538219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976883,SAMN13819072,simple,7955,Danio rerio,GSM4259016,,,,,,,no,,,,,GEO,SRA1023469,,public,3CA9F554D645D774531EF138E7505FE0,76450E2330BD9CA52FB5572252FCE6C9
SRR10868197,2020-10-09 17:10:05,2020-01-10 11:26:37,35592391,7118478200,35592391,200,2496,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868197/SRR10868197.lite.1,SRX7538220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976884,SAMN13819046,simple,7955,Danio rerio,GSM4259017,,,,,,,no,,,,,GEO,SRA1023469,,public,F0E003621D6900159976E5CD83C01BF2,227CE84912C68C4E2BEC1880A57291D2
SRR10868198,2020-10-09 17:10:05,2020-01-10 11:10:35,33402208,6680441600,33402208,200,2461,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10868/SRR10868198/SRR10868198.lite.1,SRX7538221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976885,SAMN13819070,simple,7955,Danio rerio,GSM4259018,,,,,,,no,,,,,GEO,SRA1023469,,public,FB0DC48EC0ECFE6E29D853D27677BA28,78079DAE288DAF328D52462A789BEF02
SRR10868193,2020-10-09 17:10:05,2020-01-10 11:46:22,75267061,15053412200,75267061,200,5115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR010/10868/SRR10868193/SRR10868193.lite.1,SRX7538216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP241164,PRJNA600413,3,600413,SRS5976880,SAMN13819049,simple,7955,Danio rerio,GSM4259013,,,,,,,no,,,,,GEO,SRA1023469,,public,ADFA262D02030F093E07C799DA023FAC,A0ADD5ACCAA7AB9C9D63EDED327A821F
