Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR10868209_2 - illumina_universal_adapter	(1, 0.029965452143920487)	(2, 0.03001058508511438)	(3, 0.03004725559983442)	(4, 0.030188296041065335)	(5, 0.0302136833204869)	(6, 0.030303949202874686)	(7, 0.030318053246997777)	(8, 0.03033215729112087)	(9, 0.03039985670291171)	(10, 0.03051974107795799)	(12, 0.030670654350075068)	(14, 0.03083849247513986)	(16, 0.03100209938696772)	(18, 0.031167116703207896)	(20, 0.031412527070949686)	(22, 0.03172422644607001)	(24, 0.032004896924119536)	(26, 0.032326469130126025)	(28, 0.03276510490235418)	(30, 0.033222075931942346)	(32, 0.03368186777035513)	(34, 0.03419666538084798)	(36, 0.03477775199871935)	(38, 0.0360174974771391)	(40, 0.03677629505096144)	(42, 0.03768177468366392)	(44, 0.03872406354436039)	(46, 0.03984533505214618)	(48, 0.04134882615566775)	(50, 0.04347994722266689)	(52, 0.04636281384142682)	(54, 0.04975201564420574)	(56, 0.05386334450608696)	(58, 0.05929763270671416)	(60, 0.06697728473173756)	(62, 0.0776357108755579)	(64, 0.09138856429998456)	(66, 0.10974074651295139)	(68, 0.13481209534615907)	(70, 0.16948547741836756)	(72, 0.21873962030502817)	(74, 0.2853473790807407)	(76, 0.37062466106218966)	(78, 0.48690827364384326)	(80, 0.6472712553233951)	(82, 0.8640320782379536)	(84, 1.1526276186802424)	(86, 1.515971772166092)	(88, 1.9777297143296382)
SRR10868209_2 - polya	(1, 0.005043606178417569)	(2, 0.00676147875261013)	(3, 0.00743565206169391)	(4, 0.008095721326654598)	(5, 0.008800923532809181)	(6, 0.009308669121240478)	(7, 0.010106958018607465)	(8, 0.011816368166326172)	(9, 0.013658356328801939)	(10, 0.016202725888607668)	(12, 0.017912136036326375)	(14, 0.01984721089001455)	(16, 0.021723048758385738)	(18, 0.02402341835486198)	(20, 0.026528296591123057)	(22, 0.028839949422897776)	(24, 0.031083902842881653)	(26, 0.03360147471885351)	(28, 0.03595826049182212)	(30, 0.03839402891188005)	(32, 0.04054348523623921)	(34, 0.04265627104587834)	(36, 0.044846629098194465)	(38, 0.047247137407944666)	(40, 0.049330304724925306)	(42, 0.05167580726259544)	(44, 0.05383654682225308)	(46, 0.05594228060983066)	(48, 0.05830047678721158)	(50, 0.06069111226607561)	(52, 0.06324817546559212)	(54, 0.06568676469447467)	(56, 0.07215064811608757)	(58, 0.5104267672190985)	(60, 0.5251288228130093)	(62, 0.5276887068213504)	(64, 0.530127296050233)	(66, 0.5326490991394417)	(68, 0.5352033415301336)	(70, 0.5382582774871953)	(72, 0.5409958724514874)	(74, 0.5434527969377299)	(76, 0.5458321491812955)	(78, 0.5482495823439935)	(80, 0.5503256976389126)	(82, 0.5522565412793637)	(84, 0.5541478935962703)	(86, 0.5562014424205926)	(88, 0.5582028062816591)
SRR10868210_1 - illumina_universal_adapter	(1, 0.01902847750850291)	(2, 0.019167424884621878)	(3, 0.01922592904298776)	(4, 0.019350250379515255)	(5, 0.019403879191350646)	(6, 0.019591580032774517)	(7, 0.01965983488420138)	(8, 0.019735402755423976)	(9, 0.019810970626646572)	(10, 0.01998892077500946)	(12, 0.020199779512453157)	(14, 0.020409419413264233)	(16, 0.020676344635808565)	(18, 0.02093351916529192)	(20, 0.021455181244054364)	(22, 0.021980499832714672)	(24, 0.022327868273012093)	(26, 0.022681330896472625)	(28, 0.02312254975748198)	(30, 0.023562549781858712)	(32, 0.024085430697253777)	(34, 0.024752134335298298)	(36, 0.025491968171300176)	(38, 0.026702272947494346)	(40, 0.02758227299624781)	(42, 0.0286365666834663)	(44, 0.02961651133609481)	(46, 0.030781719156881947)	(48, 0.031960334180627936)	(50, 0.03342659464967283)	(52, 0.03528897702432006)	(54, 0.037298838631514605)	(56, 0.039419614372277804)	(58, 0.041840223924666145)	(60, 0.045145708872338444)	(62, 0.049067925156117735)	(64, 0.05386160963222214)	(66, 0.05918548804351734)	(68, 0.06539789835999438)	(70, 0.07358116751142202)	(72, 0.0858073177732586)	(74, 0.1028820001596676)	(76, 0.12352543620639536)	(78, 0.14888455118473967)	(80, 0.18327646444744955)	(82, 0.2353524784128797)	(84, 0.31381143012805707)	(86, 0.4110880006142937)	(88, 0.5284436857863538)
SRR10868210_1 - polya	(1, 0.0020110804438271714)	(2, 0.002600997374016475)	(3, 0.002934958611355048)	(4, 0.00324454311604117)	(5, 0.003605318759297438)	(6, 0.003953906036227481)	(7, 0.004385374204175856)	(8, 0.005557895044758728)	(9, 0.0066524103408537585)	(10, 0.008168643111836182)	(12, 0.009403324620682805)	(14, 0.010828144644218541)	(16, 0.012092078232248102)	(18, 0.01356199521119087)	(20, 0.015237895581046847)	(22, 0.01685894830243481)	(24, 0.018334959464540692)	(26, 0.019836566195931646)	(28, 0.021512466565787623)	(30, 0.023062826762483477)	(32, 0.024416954261327103)	(34, 0.025708921091906985)	(36, 0.02709961368972929)	(38, 0.02855124811918272)	(40, 0.029995569528840416)	(42, 0.031425264898906645)	(44, 0.033014627867846424)	(46, 0.034406539302301344)	(48, 0.03578748120706267)	(50, 0.037179392641517595)	(52, 0.038546927343320075)	(54, 0.04026548699531784)	(56, 0.04183412974150304)	(58, 0.04421208001174959)	(60, 0.046084213079457786)	(62, 0.04847922706256105)	(64, 0.1416739136661448)	(66, 0.14909297224891815)	(68, 0.15066892801489906)	(70, 0.15221563170169705)	(72, 0.1538842190517573)	(74, 0.15538095043661776)	(76, 0.15676067350474643)	(78, 0.15811723867685534)	(80, 0.15945917780937274)	(82, 0.1608267125111752)	(84, 0.16284510597479812)	(86, 0.1649536933492351)	(88, 0.1665064912191962)
SRR10868210_2 - illumina_universal_adapter	(1, 0.018755458102795462)	(2, 0.018896843152179675)	(3, 0.01896022265707605)	(4, 0.019065042607481583)	(5, 0.019108920726255994)	(6, 0.01929418389441462)	(7, 0.01936000107257624)	(8, 0.01942338057747261)	(9, 0.01950138612196045)	(10, 0.019685430453486454)	(12, 0.01990238337409326)	(14, 0.02013274349765892)	(16, 0.02038869919050965)	(18, 0.020632466517034154)	(20, 0.022195015080056238)	(22, 0.023789253395526504)	(24, 0.024131746489293435)	(26, 0.024483990276121345)	(28, 0.024922771463865456)	(30, 0.02537252218130317)	(32, 0.02588565240363725)	(34, 0.026512134432805232)	(36, 0.027237342229215637)	(38, 0.028509807673673553)	(40, 0.029358117969978836)	(42, 0.03039656678097323)	(44, 0.03140942002268255)	(46, 0.03262460014540721)	(48, 0.03380199633252057)	(50, 0.03526825680156548)	(52, 0.03712210731978434)	(54, 0.03909418499136759)	(56, 0.041263714197435686)	(58, 0.04376111045767925)	(60, 0.04697518265790486)	(62, 0.050837675946685645)	(64, 0.05550094490309944)	(66, 0.06081263494806842)	(68, 0.0670396713041369)	(70, 0.07534848062872468)	(72, 0.08758438158362225)	(74, 0.10471391161849926)	(76, 0.12533784627910505)	(78, 0.15069208591091887)	(80, 0.18505718476771105)	(82, 0.23706006853518385)	(84, 0.31549951886423927)	(86, 0.41271392868221213)	(88, 0.5297466221466273)
SRR10868210_2 - polya	(1, 0.007778615389396975)	(2, 0.008975512962632297)	(3, 0.00976288142730645)	(4, 0.010496621080145213)	(5, 0.011340056029920002)	(6, 0.012015291524392882)	(7, 0.012902604592942082)	(8, 0.01477717533391553)	(9, 0.01645429454040413)	(10, 0.018737175553306125)	(12, 0.0206349041902994)	(14, 0.022738616218205887)	(16, 0.02462171881560769)	(18, 0.026840001486980694)	(20, 0.029398339578855376)	(22, 0.03181407378471323)	(24, 0.03421518195097961)	(26, 0.03679302142897625)	(28, 0.03953784152564219)	(30, 0.04208155357792541)	(32, 0.044402218526438705)	(34, 0.04678504414321574)	(36, 0.04932144317570322)	(38, 0.051955349138800504)	(40, 0.05435767614169951)	(42, 0.05701717767408186)	(44, 0.059409753983919886)	(46, 0.06142936628417542)	(48, 0.06366471266840512)	(50, 0.0661401698692615)	(52, 0.06856809244144557)	(54, 0.07094482387505949)	(56, 0.0737591176597849)	(58, 0.1778757993282991)	(60, 0.18762405471601412)	(62, 0.19015557840197111)	(64, 0.19263712978599057)	(66, 0.19527225458572048)	(68, 0.19817430460799473)	(70, 0.20088743495221245)	(72, 0.20348843232622893)	(74, 0.20608455435371492)	(76, 0.2084625046239615)	(78, 0.21154494246786384)	(80, 0.21434461021299778)	(82, 0.21656411172100343)	(84, 0.21869829466472546)	(86, 0.22113231142007267)	(88, 0.22375037250694585)
SRR10868215_1 - illumina_universal_adapter	(1, 1.770486776070864)	(2, 1.7721096101295064)	(3, 1.7721991458017072)	(4, 1.7724901367363604)	(5, 1.772646824162712)	(6, 1.7729713909744405)	(7, 1.7730805125749354)	(8, 1.7733743014993448)	(9, 1.7736736864032667)	(10, 1.7743857747962397)	(12, 1.7751846008716576)	(14, 1.7761009425168393)	(16, 1.777166976613982)	(18, 1.778547784558706)	(20, 1.7854867991542798)	(22, 1.7920872569893436)	(24, 1.7939087483206815)	(26, 1.7956015321232308)	(28, 1.7982316424941338)	(30, 1.80189700907486)	(32, 1.8058407756363364)	(34, 1.8090920397331334)	(36, 1.8128735228887454)	(38, 1.818553442093993)	(40, 1.826965598296248)	(42, 1.8363542529234445)	(44, 1.8454575125955006)	(46, 1.8578218293285005)	(48, 1.8822328909571628)	(50, 1.923918741341096)	(52, 1.9734375640477342)	(54, 2.0223450259926254)	(56, 2.0876375159502905)	(58, 2.214498371500012)	(60, 2.435903300914425)	(62, 2.7164955066383003)	(64, 2.9694491695496454)	(66, 3.2462570941281528)	(68, 3.6596265047414036)	(70, 4.2699715962069895)	(72, 5.034583852885056)	(74, 5.854759989138204)	(76, 6.730891723532311)	(78, 7.748663295368809)	(80, 9.003964611585161)	(82, 10.533843854544266)	(84, 12.301112942395406)	(86, 14.145634527417432)	(88, 16.076731511478265)
SRR10868215_1 - polya	(1, 0.0018270873108506462)	(2, 0.002092896337697218)	(3, 0.0022104119074609655)	(4, 0.0023363214464935523)	(5, 0.002585342534802446)	(6, 0.0027979897562797032)	(7, 0.0030414148650760374)	(8, 0.0035422550314501045)	(9, 0.00405708514660557)	(10, 0.004704819775184321)	(12, 0.005299392598393758)	(14, 0.00603526390429532)	(16, 0.0066186447684796375)	(18, 0.007276172361205369)	(20, 0.00838557529957027)	(22, 0.009466998340372377)	(24, 0.009948252578452485)	(26, 0.010418314857507476)	(28, 0.01102128164998575)	(30, 0.011566889652460293)	(32, 0.012025759972490165)	(34, 0.012507014210570273)	(36, 0.012944899607428048)	(38, 0.013462527712339793)	(40, 0.013935387981151062)	(42, 0.0145089758811884)	(44, 0.015300806982215557)	(46, 0.01593874864664733)	(48, 0.01658648327522608)	(50, 0.017299970663077403)	(52, 0.017770032942132395)	(54, 0.018269474113628323)	(56, 0.019047315265874082)	(58, 0.01970344386372167)	(60, 0.02064216942695351)	(62, 0.021576698005550933)	(64, 0.030124556710985424)	(66, 1.5857774823100594)	(68, 2.1203110413292467)	(70, 2.1217170311817775)	(72, 2.122666948704034)	(74, 2.1235245325643337)	(76, 2.1246311375129423)	(78, 2.1260721022374263)	(80, 2.127216480047745)	(82, 2.1283216860014753)	(84, 2.129726276859128)	(86, 2.1418653554167473)	(88, 2.153756811880936)
SRR10868215_2 - illumina_universal_adapter	(1, 1.7059791222398355)	(2, 1.707495632687739)	(3, 1.7075571884623773)	(4, 1.7078006135711736)	(5, 1.7078873512536183)	(6, 1.708203524096078)	(7, 1.7083098477068166)	(8, 1.7085001110102436)	(9, 1.7087631220473338)	(10, 1.7094262456195721)	(12, 1.7101970917974272)	(14, 1.7110616706321178)	(16, 1.7120633509648657)	(18, 1.7133756081605611)	(20, 1.7325418379910769)	(22, 1.7519444979559986)	(24, 1.7537142264768455)	(26, 1.7554881519823269)	(28, 1.7582175909895776)	(30, 1.7623404288954558)	(32, 1.766264609528638)	(34, 1.769546651512754)	(36, 1.7733001547708034)	(38, 1.7790668116584958)	(40, 1.7875601095636828)	(42, 1.7970382998630803)	(44, 1.8064017725824704)	(46, 1.818862619962062)	(48, 1.843491924791714)	(50, 1.8853820284278557)	(52, 1.9348994521396157)	(54, 1.9839146366901237)	(56, 2.0491329799192473)	(58, 2.1752103983372106)	(60, 2.3952023429247022)	(62, 2.6611274863461594)	(64, 2.913173201581592)	(66, 3.1901518035352323)	(68, 3.6049355979702824)	(70, 4.214502848283622)	(72, 4.978449183399695)	(74, 5.797957999095969)	(76, 6.67398900585885)	(78, 7.693160971568367)	(80, 8.950409688655089)	(82, 10.480714226057147)	(84, 12.246753597410404)	(86, 14.088682844923238)	(88, 16.015184130809377)
SRR10868215_2 - polya	(1, 0.022389514029750184)	(2, 0.024843351046007486)	(3, 0.02595695096900681)	(4, 0.026894277537360508)	(5, 0.027853988023764445)	(6, 0.02864022314527904)	(7, 0.029476822082406675)	(8, 0.030808665206395813)	(9, 0.03218527616648543)	(10, 0.03355769014194062)	(12, 0.03496507898934931)	(14, 0.03660609998140736)	(16, 0.037888978284661604)	(18, 0.03920403347011306)	(20, 0.040456133886048226)	(22, 0.04149558708050614)	(24, 0.0425476312288673)	(26, 0.04365283718259779)	(28, 0.04479161901340363)	(30, 0.04588843099786527)	(32, 0.046948869115495284)	(34, 0.04801490321263785)	(36, 0.04894243681684457)	(38, 0.05001546588837784)	(40, 0.05100735325697899)	(42, 0.052186705939250885)	(44, 0.05329750787249393)	(46, 0.05421804650230995)	(48, 0.05503366051626549)	(50, 0.05591782527924987)	(52, 0.05686914179638497)	(54, 0.05798414071426243)	(56, 0.06355913530364975)	(58, 1.7854154504154944)	(60, 2.3615886929876364)	(62, 2.3632688858362823)	(64, 2.3646538907656405)	(66, 2.3663103007013584)	(68, 2.3696441054959654)	(70, 2.3730184811420387)	(72, 2.3752414840034026)	(74, 2.379942106793953)	(76, 2.3846021587330366)	(78, 2.3995532169957174)	(80, 2.413734828075421)	(82, 2.415671036986766)	(84, 2.4174617504307854)	(86, 2.419968749252412)	(88, 2.423350119872876)
SRR10868216_1 - illumina_universal_adapter	(1, 1.15203792095009)	(2, 1.1524455786895462)	(3, 1.1525168475251155)	(4, 1.1528161766345066)	(5, 1.1529501620453768)	(6, 1.1532266851273856)	(7, 1.153360670538256)	(8, 1.153585880058655)	(9, 1.15379683581194)	(10, 1.1542073443048189)	(12, 1.1546420842017917)	(14, 1.1552179363931914)	(16, 1.15588501269412)	(18, 1.1566832236524958)	(20, 1.1587329153634685)	(22, 1.1599202541640528)	(24, 1.1608182414922257)	(26, 1.1615779672793942)	(28, 1.1627082910115232)	(30, 1.1644258699487429)	(32, 1.1663544046392476)	(34, 1.1681161702545202)	(36, 1.1700575333354277)	(38, 1.1729581749430975)	(40, 1.1772599618580595)	(42, 1.1821618323685148)	(44, 1.1868527471256851)	(46, 1.1928350531833707)	(48, 1.203653662422788)	(50, 1.2206769364868673)	(52, 1.242884305650256)	(54, 1.266260483716981)	(56, 1.2945014724996655)	(58, 1.3434289534946902)	(60, 1.4274349553569163)	(62, 1.5382579946671524)	(64, 1.6505662765106528)	(66, 1.7781916564947033)	(68, 1.957850413327888)	(70, 2.220876603256598)	(72, 2.561635712140726)	(74, 2.9481964508918095)	(76, 3.3821324353992193)	(78, 3.906338952415395)	(80, 4.562747734035881)	(82, 5.375699938361009)	(84, 6.344012502720331)	(86, 7.41980559800169)	(88, 8.60827757307151)
SRR10868216_1 - polya	(1, 0.0021010052725824856)	(2, 0.0025941856147219293)	(3, 0.0028393504090802654)	(4, 0.0030987689705524583)	(5, 0.0034009488333662215)	(6, 0.0038000543125542106)	(7, 0.004330294449189682)	(8, 0.00538222246219231)	(9, 0.00649971780391868)	(10, 0.0077968106112796445)	(12, 0.008807402699652089)	(14, 0.010241331671306078)	(16, 0.011383058417126004)	(18, 0.012634539169722627)	(20, 0.01383043023057521)	(22, 0.015030597421561947)	(24, 0.016075398551007647)	(26, 0.017140154954412748)	(28, 0.018304687727614843)	(30, 0.019387974028267956)	(32, 0.020258879198924606)	(34, 0.02135784464340296)	(36, 0.02235703371808432)	(38, 0.023366200429745375)	(40, 0.024338307346910407)	(42, 0.025283332106559107)	(44, 0.026261140530569684)	(46, 0.027190486146393144)	(48, 0.02805568981020425)	(50, 0.02900499069998711)	(52, 0.029994202137688768)	(54, 0.031046130150691395)	(56, 0.03211658806094204)	(58, 0.03317991908763575)	(60, 0.03430881744305321)	(62, 0.03555174593538152)	(64, 0.04394578938873176)	(66, 1.4705426232393533)	(68, 1.7213747154021588)	(70, 1.7231849438256188)	(72, 1.7246958431396875)	(74, 1.7256237633787996)	(76, 1.7266443331041517)	(78, 1.7277846344732604)	(80, 1.7288023534451897)	(82, 1.7298100947801394)	(84, 1.730850619779451)	(86, 1.732488377620833)	(88, 1.733681417928263)
SRR10868216_2 - illumina_universal_adapter	(1, 1.1020243029009893)	(2, 1.102429109887023)	(3, 1.102503229476015)	(4, 1.1027740510511783)	(5, 1.1028339168730565)	(6, 1.1030876339276832)	(7, 1.1031674550235206)	(8, 1.1032900374207)	(9, 1.1034468288589523)	(10, 1.1038088745436443)	(12, 1.10422650992008)	(14, 1.1048066382416142)	(16, 1.1054109979672417)	(18, 1.106165022247565)	(20, 1.1074122268700273)	(22, 1.1085924387870545)	(24, 1.1094505155673087)	(26, 1.11017175618327)	(28, 1.1112963784085532)	(30, 1.1129726214211426)	(32, 1.114802805118562)	(34, 1.1165317870694729)	(36, 1.1184702993969573)	(38, 1.1214564636073103)	(40, 1.1261830127822652)	(42, 1.1316165488060674)	(44, 1.1363659040084046)	(46, 1.142455113319444)	(48, 1.1533250361204712)	(50, 1.1703753923420668)	(52, 1.1924444999644512)	(54, 1.2157665137161435)	(56, 1.2439433605468155)	(58, 1.292360556679164)	(60, 1.3759745799457592)	(62, 1.483044602374917)	(64, 1.5952915930198275)	(66, 1.7242853346468086)	(68, 1.9043745552468316)	(70, 2.164833641718336)	(72, 2.503840962624171)	(74, 2.8858889587070076)	(76, 3.3153848947584508)	(78, 3.83533666229114)	(80, 4.4885939360027525)	(82, 5.296897986872052)	(84, 6.26118386202171)	(86, 7.332988753264612)	(88, 8.51700357535793)
SRR10868216_2 - polya	(1, 0.006345777119089027)	(2, 0.007403406638937198)	(3, 0.008007766364564725)	(4, 0.008577917049118994)	(5, 0.009273500884275204)	(6, 0.009946278692049244)	(7, 0.010661817801164852)	(8, 0.01223828444395741)	(9, 0.013897422936010335)	(10, 0.01560930036638453)	(12, 0.01725133433790083)	(14, 0.019412205432361513)	(16, 0.02116399341065451)	(18, 0.022948565053309375)	(20, 0.02458489751798013)	(22, 0.026350939263386983)	(24, 0.028105577995102746)	(26, 0.029941463199367496)	(28, 0.03191988607477081)	(30, 0.03400378682681667)	(32, 0.03576127631195521)	(34, 0.03764847507782984)	(36, 0.03949433791907429)	(38, 0.04131169322609103)	(40, 0.04303639904686769)	(42, 0.04493215007301064)	(44, 0.04682077421559667)	(46, 0.04848276346107236)	(48, 0.05000364041212088)	(50, 0.051668480411019346)	(52, 0.05352004475910934)	(54, 0.055561184209813624)	(56, 0.06468359516268195)	(58, 2.163958460417545)	(60, 2.523114906515528)	(62, 2.52856839781329)	(64, 2.5328701847282513)	(66, 2.5348486076036547)	(68, 2.5370451131159006)	(70, 2.541348325407574)	(72, 2.544914617939461)	(74, 2.568684199978528)	(76, 2.5898852531836787)	(78, 2.5934002321539555)	(80, 2.5960728134878037)	(82, 2.5979856690344834)	(84, 2.599721777868951)	(86, 2.6017728949566354)	(88, 2.604290110228942)
SRR10868217_1 - illumina_universal_adapter	(1, 0.04213865354904853)	(2, 0.04220226249289312)	(3, 0.042256784444759915)	(4, 0.042388545828438)	(5, 0.04242716554434365)	(6, 0.04263843810782748)	(7, 0.04267932957172757)	(8, 0.04274293851557216)	(9, 0.0428860586392225)	(10, 0.0431052823206869)	(12, 0.043449452141846034)	(14, 0.043693665051249386)	(16, 0.04403329137641962)	(18, 0.04441948853547608)	(20, 0.04513281740573331)	(22, 0.04573483062426249)	(24, 0.04617668560918296)	(26, 0.04664466569603962)	(28, 0.04720805919866316)	(30, 0.04788617597500641)	(32, 0.04861540708122478)	(34, 0.04955363900293253)	(36, 0.05049755029462641)	(38, 0.05173792469959597)	(40, 0.05292150540470429)	(42, 0.05460714241658601)	(44, 0.05631776865640668)	(46, 0.05793525322845491)	(48, 0.05973788526205079)	(50, 0.06202439961846447)	(52, 0.06524233065260254)	(54, 0.06875445305202188)	(56, 0.07240969557509153)	(58, 0.07669761991461545)	(60, 0.08304374793711083)	(62, 0.09130382364493014)	(64, 0.10170161421552668)	(66, 0.11301491922788648)	(68, 0.1270827186835166)	(70, 0.1463187448265199)	(72, 0.1757219791186831)	(74, 0.2173710709749277)	(76, 0.2679515400713515)	(78, 0.33183877304526477)	(80, 0.4205789290784584)	(82, 0.5513305207730113)	(84, 0.7412815934549304)	(86, 0.9790336515620641)	(88, 1.2645276296465568)
SRR10868217_1 - polya	(1, 0.00167655001990392)	(2, 0.0021854215706606653)	(3, 0.0024194116140889904)	(4, 0.0026488581615284157)	(5, 0.0029669028807513815)	(6, 0.003250871380057601)	(7, 0.00363025329513071)	(8, 0.004534408996921713)	(9, 0.005352238274923625)	(10, 0.006481297028165155)	(12, 0.007363871124008885)	(14, 0.008492929877250414)	(16, 0.00959132003256687)	(18, 0.01089303163338658)	(20, 0.012325368743887153)	(22, 0.013611178108745714)	(24, 0.014810661049815186)	(26, 0.016123731390607146)	(28, 0.017598095839005033)	(30, 0.018831654999991253)	(32, 0.019987974729166177)	(34, 0.0212124468981746)	(36, 0.022376717745330097)	(38, 0.023735223046011052)	(40, 0.024856330681272007)	(42, 0.0258649867908077)	(44, 0.026958833450135257)	(46, 0.028045864865479463)	(48, 0.029236260814571136)	(50, 0.030466412353565682)	(52, 0.03170678675853525)	(54, 0.032799497543865574)	(56, 0.03385586036128471)	(58, 0.03509282714426261)	(60, 0.03669327360635247)	(62, 0.0398180629727181)	(64, 0.18401045167643304)	(66, 0.19725701423206954)	(68, 0.19860529666677548)	(70, 0.19992291050355632)	(72, 0.20119736112844266)	(74, 0.20242524091944275)	(76, 0.20374853412620975)	(78, 0.20493552245330973)	(80, 0.206098657426468)	(82, 0.20728450987957076)	(84, 0.20869980888011297)	(86, 0.21009125452671346)	(88, 0.2114997382832723)
SRR10868217_2 - illumina_universal_adapter	(1, 0.04043938604920011)	(2, 0.04050526674103915)	(3, 0.040562060440900397)	(4, 0.04069155007658403)	(5, 0.04073244154048413)	(6, 0.040932355363995705)	(7, 0.040977790323884704)	(8, 0.041027768779762594)	(9, 0.041159530163440684)	(10, 0.04137648209691064)	(12, 0.041711564926091974)	(14, 0.04194782671751475)	(16, 0.042255648570762694)	(18, 0.0426486609738025)	(20, 0.043214326224420486)	(22, 0.043817475316946894)	(24, 0.0442513791838868)	(26, 0.04471595164875178)	(28, 0.04525776354542804)	(30, 0.04592452158179905)	(32, 0.04665488856201464)	(34, 0.04752269629589445)	(36, 0.04838936815577703)	(38, 0.04966495465466057)	(40, 0.05086102997373837)	(42, 0.05249214503375329)	(44, 0.05416415155766831)	(46, 0.05597814233123644)	(48, 0.05796137833039108)	(50, 0.06042395315637462)	(52, 0.06367596041042944)	(54, 0.06718921868384599)	(56, 0.07093987462268253)	(58, 0.07523802182818148)	(60, 0.08127859974542337)	(62, 0.08968065970289579)	(64, 0.10028858696297893)	(66, 0.11162460945528321)	(68, 0.12569354478491057)	(70, 0.14499772336774736)	(72, 0.174448664367794)	(74, 0.21620339250578052)	(76, 0.2668054432081516)	(78, 0.3306279313642231)	(80, 0.41935672865744444)	(82, 0.5500413037861611)	(84, 0.7397629299206407)	(86, 0.9768879855813063)	(88, 1.2615902594897332)
SRR10868217_2 - polya	(1, 0.00381880837867004)	(2, 0.004666170380599799)	(3, 0.005097802499545253)	(4, 0.0055907718143408495)	(5, 0.006138263081003241)	(6, 0.006576710443932044)	(7, 0.007180995410455679)	(8, 0.008630370630914624)	(9, 0.00996161495566218)	(10, 0.011629077983588303)	(12, 0.012953507064352509)	(14, 0.014542594786470114)	(16, 0.016246405782307433)	(18, 0.018134228365695178)	(20, 0.020166306946730488)	(22, 0.022066624144087707)	(24, 0.02402600678930062)	(26, 0.02597175894654684)	(28, 0.02814468590323803)	(30, 0.03024037342811793)	(32, 0.03212138076752233)	(34, 0.03410348089267974)	(36, 0.035967450122125766)	(38, 0.03799839282916385)	(40, 0.039829421712690355)	(42, 0.041660450596216855)	(44, 0.04345626738582939)	(46, 0.04519074697959177)	(48, 0.04715353724679636)	(50, 0.04933214357347368)	(52, 0.0510723025372222)	(54, 0.052707961093226015)	(56, 0.054879752175919984)	(58, 0.22022779407794826)	(60, 0.23685131002733434)	(62, 0.23880955679855004)	(64, 0.2408711681035132)	(66, 0.24306226904415998)	(68, 0.24499211896544504)	(70, 0.247153687182164)	(72, 0.24936523385476084)	(74, 0.2516006338812994)	(76, 0.2536406635803153)	(78, 0.25579428067905363)	(80, 0.257735489340311)	(82, 0.25948359942204)	(84, 0.2612794162116526)	(86, 0.26321040200693485)	(88, 0.2654287639235151)
SRR10868218_1 - illumina_universal_adapter	(1, 0.6073635491817855)	(2, 0.6159105211317943)	(3, 0.615974079827313)	(4, 0.6161346491633601)	(5, 0.6163019088884093)	(6, 0.6167668909240458)	(7, 0.6169809833721086)	(8, 0.6171984210146724)	(9, 0.6175396308537726)	(10, 0.6178791680956223)	(12, 0.6184595593415426)	(14, 0.6194965696368471)	(16, 0.6202107686628067)	(18, 0.6207861421169756)	(20, 0.6230173868491305)	(22, 0.6246648951408642)	(24, 0.6252770657345439)	(26, 0.6259494498292413)	(28, 0.6266653214524514)	(30, 0.6275735417594679)	(32, 0.6285319399839993)	(34, 0.6295003737920335)	(36, 0.6305708360323478)	(38, 0.6336166356254918)	(40, 0.6348660657716085)	(42, 0.636451687965074)	(44, 0.638025601977786)	(46, 0.6397032170200285)	(48, 0.6416501202195999)	(50, 0.6441907954430958)	(52, 0.647502537999068)	(54, 0.6510885865041205)	(56, 0.6549305423884983)	(58, 0.6594883698960863)	(60, 0.6669147016882662)	(62, 0.6760771894264557)	(64, 0.6893442308173501)	(66, 0.7020425891430776)	(68, 0.7172097010105298)	(70, 0.7390571662964429)	(72, 0.7724505704024951)	(74, 0.8197164961041196)	(76, 0.8754374009069759)	(78, 0.9446561655212944)	(80, 1.0407468775620008)	(82, 1.1834562201683918)	(84, 1.3917380653830307)	(86, 1.6485670457931705)	(88, 1.9466322388169144)
